ID;Tittel;Dato;Klokkeslett;URL;BildeURL;Undertittel;Pris lavest;Pris høyest;Innehold;Innhold-excerpt;Dag;År;@image
46291;Norsken, svensken og dansken;5. august;18:00;https://www.festiviteten.no/program/46291-norsken-svensken-og-dansken/;https://cdn.tixly.com/no/tix/EventImages/Feature_46291.jpg;LIVE PODCAST;380;;"<p>NORSKEN, SVENSKEN OG DANSKEN – Live på Festiviteten</p><p><strong>Har du hørt den om norsken, svensken og dansken som møttes i Festiviteten i Haugesund?<br><br>Dette er ikke en vits, men tvert imot et svært underholdende og aktuelt møte mellom tre sterke stemmer fra Skandinavia – og en av de mest populære podkastene i Norden.</strong></p><p>Norsken, svensken og dansken er et ukentlig radioprogram og podkast som sendes på NRK (Norge), SR (Sverige) og DR (Danmark). Her møtes Hilde Sandvik (norsk journalist og programleder), Åsa Linderborg (svensk forfatter og samfunnsdebattant) og Hassan Preisler (dansk dramatiker og kulturpersonlighet) for å diskutere politikk, kultur og samfunn – med både alvor, broderlig erting og mye humor.</p><p>Forvent underholdende «familieterapi» mellom nabolandene!</p><p>Med skarpe analyser, humor og dyp samfunnsforståelse gir Norsken, svensken og dansken publikum en annerledes og tankevekkende opplevelse – og et pusterom midt i verdens alvor.</p><p><em>Mulige gjester vil bli annonsert senere.</em></p>

<br>";NORSKEN, SVENSKEN OG DANSKEN – Live på Festiviteten. Har du hørt den om norsken, svensken og dansken som møttes i Festiviteten i Haugesund? Dette er ikke en vits, men tvert imot et svært underholdende og aktuelt møte mellom tre sterke stemmer fra Skandinavia – og en av de mest populære podkastene i Norden..;Onsdag;2026;images/Feature_46291.jpg
44206;Marius Neset Quintet;6. august;19:00;https://www.festiviteten.no/program/44206-marius-neset-quintet/;https://cdn.tixly.com/no/tix/EventImages/Feature_44206.jpg;Sildajazz;390;;"<p>

Sildajazz: Marius Neset Quintet -FESTIVITETEN</p><p><em>«He is not the future of European Jazz, he’s the present»</em></p><p><em>(Brian Morton, Downbeat, 2022)</em></p><p>Marius Nesets karriere strekker seg nå over 20 år. Allerede da han var 20 turnerte han verden rundt med JazzKamikaze – i Europa, USA, Asia og Nord-Afrika. I dag turnerer han både med sitt eget band og gjør mange samarbeid med store orkestre rundt om på i store konserthus i Europa. Musikken i Nesets nye band kan best beskrives som moderne samtidsfusion blandet med jazz, med inspirasjon fra musikk verden over fra alle mulige sjangre. Hver konsert lever sitt eget liv, og musikken tas i nye retninger hver gang den spilles live.</p><p><strong>The Guardian’s </strong>anerkjente jazzkritiker<strong> </strong>John Fordham<strong> </strong>har omtalt Neset som ”a young titan in European new music”, og han var den eneste musikeren bosatt i Europa som kom med på <strong>Downbeats </strong>liste «25 for the future, that will shape the future of the jazz in the years to come».</p><p>Velkommen til konsert med en av Europas mest spennende saksofonister med et band av kuler og krutt!</p><p>Marius Neset (NO) – tenor og sopransaxofon<br>Elliot Galvin (UK) – keyboard<br>Magnus Hjorth (SE) – piano<br>Conor Chaplin (UK) – el. bass<br>Anton Eger (SE) – trommer</p>

<br>";Sildajazz: Marius Neset Quintet -FESTIVITETEN. «He is not the future of European Jazz, he’s the present». (Brian Morton, Downbeat, 2022). Marius Nesets karriere strekker seg nå over 20 år. Allerede da han var 20 turnerte han verden rundt med JazzKamikaze – i Europa, USA, Asia og Nord-Afrika.;Torsdag;2026;images/Feature_44206.jpg
43848;Bugge Wesseltoft/Arild Andersen/Gard Nilssen;7. august;19:00;https://www.festiviteten.no/program/43848-bugge-wesseltoft-arild-andersen-gard-nilssen/;https://cdn.tixly.com/no/tix/EventImages/Feature_43848.jpg;Sildajazz;475;;"<p>

Sildajazz: Bugge Wesseltoft/Arild Andersen/Gard Nilssen -FESTIVITETEN</p><p>BAG – den nye supertrioen</p><p>Bugge Wesseltoft – B, Arild Andersen – A, Gard Nilssen – G. Bare smak på navnene. Nærmere supergruppe er det nesten umulig å komme både her til lands og langt utenfor våre grenser.</p><p>Tangentsjef Jens Christian Bugge Wesseltoft (61), bassmaestro Arild Andersen (79) og den store, nye trommeslageren Gard Nilssen (42), er representanter for tre generasjoner norske jazzmusikere som alle hører hjemme helt der oppe i den internasjonale eliteklassen.</p><p>Et ganske så tilfeldig møte for et par år siden førte til at de tre spilte sammen for første gang. Resultatet var åpenbart: det korte musikalske møtet var alt for fint og spennende til at det skulle ende der og da.</p><p>BAG er en trio i ypperste verdensklasse med tre av våre aller fremste jazzmusikere fra tre generasjoner. Denne konserten vil du ikke gå glipp av!</p>

<br>";Sildajazz: Bugge Wesseltoft/Arild Andersen/Gard Nilssen -FESTIVITETEN. BAG – den nye supertrioen. Bugge Wesseltoft – B, Arild Andersen – A, Gard Nilssen – G. Bare smak på navnene. Nærmere supergruppe er det nesten umulig å komme både her til lands og langt utenfor våre grenser.;Fredag;2026;images/Feature_43848.jpg
46627;Haugaland Storband med unge talenter;8. august;19:00;https://www.festiviteten.no/program/46627-haugaland-storband-med-unge-talenter/;https://cdn.tixly.com/no/tix/EventImages/Feature_46627.jpg;Sildajazz ;380;;<p>Velkommen til en storband aften, med lokale talenter </p>;Velkommen til en storband aften, med lokale talenter.;Lørdag;2026;images/Feature_46627.jpg
;bear king musical;13. aug. - 14. aug.;;;;;;;;;;;images/placeholder.jpg
45206;Rune Bjerga;15. august;19:00;https://www.festiviteten.no/program/45206-rune-bjerga/;https://cdn.tixly.com/no/tix/EventImages/Feature_45206.jpg; Har sykt mye på hjertet;580;;"<p>

<b></b></p><p><b>Rune Bjerga er et kjent og kjært navn på humor- og underholdningsscenen i hele Norge. Med over 20 års fartstid som standup-komiker, TV-profil og innholdsskaper, er det en sann glede at han igjen har valgt Grand Hotell i november og desember med sitt nye humorshow: Rune Bjerga – Har sykt mye på hjertet</b></p><p><b>Her kan du oppleve en svært populær komiker som er kjappere (og kanskje litt frekkere) i replikken enn noensinne. Bjerga treffer alle aldre og alle typer mennesker med sin morsomme observasjonshumor og involverer gjerne publikum, noe som er blitt hans varemerke. Her vil du garantert kjenne deg igjen. Et skråsikkert valg. </b></p><br>

<br>";. Rune Bjerga er et kjent og kjært navn på humor- og underholdningsscenen i hele Norge. Med over 20 års fartstid som standup-komiker, TV-profil og innholdsskaper, er det en sann glede at han igjen har valgt Grand Hotell i november og desember med sitt nye humorshow: Rune Bjerga – Har sykt mye på hjertet.;Lørdag;2026;images/Feature_45206.jpg
44970;3 menn og en bobil;29. august;19:00;https://www.festiviteten.no/program/44970-3-menn-og-en-bobil/;https://cdn.tixly.com/no/tix/EventImages/Feature_44970.jpg;Livepod;480;;"<p>På bare litt over ett år har podkasten «3 menn og en bobil» med komiker, ikke skuespiller, Hans Morten Hansen, livsnyter, cowboy og altmuligmann Arvid Mæland, og komiker & fylkesbyråkrat Harald Eide Ellingsen oppnådd kultstatus.</p><p>Lyttertallene har fortsatt å stige gjennom 2025 og inn i 2026, og podkasten har vært blant de mest avspilte på Spotify i en rekke uker! På Podtoppen, Norges offisielle toppliste for podkaster, har «3 menn og en bobil» fortsatt å klatre og markerer seg som en av de 100 mest populære norske podkastene.</p><p>På sosiale medier har de korte videoklippene fra podkasten nå blitt vist over **15 millioner ganger**! Siden første episode ble sendt 19. november 2024, har suksessen bare vokst, og podkasten har blitt et fast innslag for mange lyttere hver uke.</p><p>Podkasten byr fortsatt på en stor dose humor, ord og uttrykk du ikke visste du trengte, og masse livserfaring og opplevd liv. Dette er podkasten med tre voksne menn som burde visst bedre!</p><p>I 2025 opplevde over 8000 mennesker «3 menn og en bobil – LIVE» fra Odda i nord til Lyngdal i sør. Nå tar denne gjengen igjen galskapen ut på veien, og i 2026 får du muligheten til å oppleve dem igjen i levendes live! I år blir det fra Kristiansand i sør til Haugesund i nord….foreløpig!<br><a target=""_blank"" rel=""nofollow"" href=""https://forteconcept.us19.list-manage.com/track/click?u=acb80a4eedd6b2b7e9e4ccf35&id=aac344d418&e=a16a206324"">H</a><a target=""_blank"" rel=""nofollow"" href=""https://forteconcept.us19.list-manage.com/track/click?u=acb80a4eedd6b2b7e9e4ccf35&id=786d5fca7d&e=a16a206324"">er ligger publiserte episoder!</a><br><a target=""_blank"" rel=""nofollow"" href=""https://forteconcept.us19.list-manage.com/track/click?u=acb80a4eedd6b2b7e9e4ccf35&id=8f7c93822f&e=a16a206324"">For pressebilder klikk her</a></p>

<br>";På bare litt over ett år har podkasten «3 menn og en bobil» med komiker, ikke skuespiller, Hans Morten Hansen, livsnyter, cowboy og altmuligmann Arvid Mæland, og komiker & fylkesbyråkrat Harald Eide Ellingsen oppnådd kultstatus.;Lørdag;2026;images/Feature_44970.jpg
;klassisk konsert med marius og munor;30. august;;;;;;;;;;;images/placeholder.jpg
44089;Tor Inge Vormedal;1. september;18:00;https://www.festiviteten.no/program/44089-tor-inge-vormedal/;https://cdn.tixly.com/no/tix/EventImages/Feature_44089.jpg;1950-tallet;175;;"<p>

1950-tallet: Tor Inge Vormedal</p><p>1950-tallet var det første tiåret på lenge hvor det var fred og arbeid for alle. Ved hjelp av busser, båter og broer ble regionen knyttet sterkere sammen. Rasjoneringen av mange viktige varer opphørte og på bygda ble hesten byttet ut til fordel for traktoren. Mot slutten av tiåret forsvant silda og alvorlige sykdommer som poliomyelitt og tuberkulose ble utryddet. Arbeidstiden var 48 timer pr. uke og ordet lørdagsfri dukket først opp i 1959.</p>

<br>";1950-tallet: Tor Inge Vormedal. 1950-tallet var det første tiåret på lenge hvor det var fred og arbeid for alle. Ved hjelp av busser, båter og broer ble regionen knyttet sterkere sammen. Rasjoneringen av mange viktige varer opphørte og på bygda ble hesten byttet ut til fordel for traktoren.;Tirsdag;2026;images/Feature_44089.jpg
46834;Ivana Impeachum;4. september;21:00;https://www.festiviteten.no/program/46834-ivana-impeachum/;https://cdn.tixly.com/no/tix/EventImages/Feature_46834.jpg; Drag Bingo;330;;"<p>

Tidenes gøyeste bingo! Det  blir høy latterfaktor, masse godt i glasset , <br></p><p>Ivana Impeachum har de siste årene blitt en av landets mest fremadstormende dragartister, med bingo som sitt spesialfelt. Med sin skarpe tunge og frekke tilnærming, har hun tatt publikum med storm – for når Ivana slipper skravla løs er ingen trygge og ingen temaer tabu. Hun har tidligere gjestet steder som bl.a Nationaltheatret, Chat Noir, Oslo Pride, Trøndelag Teater og Teateret Vårt, samt utallige Pride-feiringer rundt om i landet. I tillegg er hun fast bingovertinne på SALT, Teaterkjeller’n og i Arendal<br><br></p><p>Dette blir gøy !</p>";Tidenes gøyeste bingo! Det blir høy latterfaktor, masse godt i glasset ,. Ivana Impeachum har de siste årene blitt en av landets mest fremadstormende dragartister, med bingo som sitt spesialfelt. Med sin skarpe tunge og frekke tilnærming, har hun tatt publikum med storm – for når Ivana slipper skravla løs er ingen trygge og ingen temaer tabu.;Fredag;2026;images/Feature_46834.jpg
;gassco murder mystey;10. september;;;;;;;;;;;images/placeholder.jpg
45700;Erlend Loe leser «Kukene/Kukane»;11. september;19:00;https://www.festiviteten.no/program/45700-erlend-loe-leser-kukene-kukane/;https://cdn.tixly.com/no/tix/EventImages/Feature_45700.jpg;Undertittel;410;;"<p>Velkommen til en kveld hvor du får oppleve hele romanen, lest av forfatteren selv – live fra scenen!</p><p>Dette blir en ekte lesemaraton som vil vare 2-3 timer, selvsagt med velfortjente pauser underveis, hvor publikum kan strekke på beina og kjøpe noe i baren.</p><p>Erlend Loe er kjent som en særegen oppleser – med humor, varme og perfekt timing. Har du hørt noen av bøkene hans som lydbok, vet du hva vi snakker om.</p><p><br>Om «Kukene/Kukane»:<br>«En dag faller penisen til Tander av mens han står i dusjen. Det er lite ideelt og passer dårlig, mildt sagt.»</p><p>Slik begynner Erlend Loes roman «Kukene/Kukane» – en fortelling om tap, tilknytning og frihet, om kropp, skam og om hva det egentlig vil si å være hel.</p><p>Fortellingen er absurd, morsom og tankevekkende. I kjent Loe-stil balanserer den letthet og dybde, med et blikk for det menneskelige som er både ømt og burlesk.</p><p>Boken fikk en rekke strålende anmeldelser da den kom ut i fjor høst, og den ble også nominert til Bokhandlerprisen.</p><p>Fra anmeldelsene:</p><p>«Når lo eg høgt av ein roman sist? Altså, beint fram skratta?» NRK</p><p>«Loe er morsom, veldig morsom.» Dagbladet</p><p>«Forfatterens tørrvittige stil er perfekt for absurde historier som dette.» Stavanger Aftenblad «Det er bare Loe som kan finne på noe så vilt og originalt, her er nok stoff til å kurere en lett høstdepresjon.» Adresseavisen</p><p>«Loe er som alltid en morsom forfatter. Han skriver med en letthet som er beundringsverdig.» VG</p>

<br>";Velkommen til en kveld hvor du får oppleve hele romanen, lest av forfatteren selv – live fra scenen! Dette blir en ekte lesemaraton som vil vare 2-3 timer, selvsagt med velfortjente pauser underveis, hvor publikum kan strekke på beina og kjøpe noe i baren. Erlend Loe er kjent som en særegen oppleser – med humor, varme og perfekt timing.;Fredag;2026;images/Feature_45700.jpg
46321;Nina Westerlund Lie;12. september;19:00;https://www.festiviteten.no/program/46321-nina-westerlund-lie/;https://cdn.tixly.com/no/tix/EventImages/Feature_46321.jpg;Jeg bare måtte;555;;"<p>Det blir EKTRAFORESTILLING!<br>«Jeg bare måtte» ble utsolgt på rekordtid! Og etter overveldende tilbakemeldinger fra publikum<br>så fyrer vi opp i Festiviteten igjen! Lørdag 12 september!</p>Vi gleder oss!<p>Velkommen til 60-års feiring!</p><br>

<br>";Det blir EKTRAFORESTILLING! «Jeg bare måtte» ble utsolgt på rekordtid! Og etter overveldende tilbakemeldinger fra publikum. så fyrer vi opp i Festiviteten igjen! Lørdag 12 september! Vi gleder oss!Velkommen til 60-års feiring! .;Lørdag;2026;images/Feature_46321.jpg
46003;Melis;17. september;21:00;https://www.festiviteten.no/program/46003-melis/;https://cdn.tixly.com/no/tix/EventImages/Feature_46003.jpg;Undertittel;280;;"<p>

Sandefjordsjenta Lise Mæland visste alltid at hun ville synge. Fra bl.a X Factor, korist for 
Gabrielle, og stemmeskuespiller skulle hun først i 2019 bli artisten Melis.</p><p> Spol frem til 2024 
hvor hun slapp sitt kritikerroste andrealbum «Someone To Come Home To» (terningkast 5 i 
aftenposten) med påfølgende Norgesturné, bl.a utsolgt Parkteater, Oslo 2024.</p><p>Samarbeidet med Stargate sitt team vinteren 2025 resulterte i den kommende EP’en, hvor bl.a 
mannen som har mikset for Rihanna, Kendrick Lamar og Sam Smith - </p><p>Thomas Warren, også står 
bak miksen av kommende EP ‘Give it All’ med slipp 27. Mars. Singelen ‘Give It All‘ er A-listet på 
NRKp3, og Parkteateret-konsert skjer september 2026.</p><p> Med “Give It All” leverer Melis en energisk 80-talls-EP om frihet, selvtillit og kompromissløs 
kjærlighet. Inspirert av Prince, Whitney Houston og glamorøs Pretty Woman-estetikk, 
kombinerer hun store refrenger, gitarsoloer (helst med vind i håret) og et tydelig budskap: 
enten gir du alt – eller så gir du slipp. “Give It All“ markerer et nytt kapittel fylt av driv, egen 
verdi og blikket rettet fremover. Som Melis sier, «frihet kler deg!»

<br></p>";Sandefjordsjenta Lise Mæland visste alltid at hun ville synge. Fra bl.a X Factor, korist for Gabrielle, og stemmeskuespiller skulle hun først i 2019 bli artisten Melis. Spol frem til 2024 hvor hun slapp sitt kritikerroste andrealbum «Someone To Come Home To» (terningkast 5 i aftenposten) med påfølgende Norgesturné, bl.a utsolgt Parkteater, Oslo 2024.;Torsdag;2026;images/Feature_46003.jpg
44886;Ken André Ottesen (BAdesKen) og Rune Nilson;18. september;19:00;https://www.festiviteten.no/program/44886-ken-andre-ottesen-badesken-og-rune-nilson/;https://cdn.tixly.com/no/tix/EventImages/Feature_44886.jpg;Høyt og lavt ;495;;"<p><b> - en statusrapport fra Norges rikeste land</b></p><p>Rune Nilson og Ken André Ottesen (BAdesKen) har slått seg sammen for å fortelle deg hvordan det egentlig står til i Norges rikeste land. Den ene har begeistret radiolyttere og tv-seere med uforglemmelige karakterer og dialekter. Den andre har reist land og strand rundt og høstet latterkuler på scener både høyt og lavt i vårt langstrakte land. Samtidig som han har regjert på sosiale medier med lun humor fra lokalavisene. Felles for dem begge er at de elsker Norge. På godt. Og litt på vondt.</p><p>Ken André Ottesen/BAdesKen er totningen og avismannen som fikk utløp for sin interesse for lokalnyheter på Instagram. Han har en av Norges største følgerskarer i sosiale medier og de får daglig små gulldrypp fra alt som rører seg, i hele det fantastiske landet vårt. I over to år har han turnért med showet «Ja, vi elsker dette landet».</p><p>Rune Nilson er mannen bak en stemme du helt sikkert har hørt før. Han har ledet noen av Norges største radiosuksesser de siste årene, blant annet Lønsj, Kolafei og Landsmøte på P1. I tillegg har han ledet både Sommeråpent og Ikke gjør dette hjemme på NRK1. Gjennom kontakt med lytterne har han lært over snittet mye om den norske folkesjela – i tillegg til at han er helt rå på norske dialekter.</p>

<br>";- en statusrapport fra Norges rikeste land. Rune Nilson og Ken André Ottesen (BAdesKen) har slått seg sammen for å fortelle deg hvordan det egentlig står til i Norges rikeste land. Den ene har begeistret radiolyttere og tv-seere med uforglemmelige karakterer og dialekter.;Fredag;2026;images/Feature_44886.jpg
